2023-02-03-19-03-43 val-acc:0.5305 
2023-02-03-19-03-50 train-acc:0.7446 
2023-02-03-19-03-52 val-acc:0.5000 
2023-02-03-19-03-59 train-acc:0.8776 
2023-02-03-19-04-00 val-acc:0.8155 
2023-02-03-19-04-07 train-acc:0.9133 
2023-02-03-19-04-09 val-acc:0.8610 
2023-02-03-19-04-16 train-acc:0.9274 
2023-02-03-19-04-18 val-acc:0.8925 
2023-02-03-19-04-25 train-acc:0.9362 
2023-02-03-19-04-27 val-acc:0.9100 
2023-02-03-19-04-34 train-acc:0.9385 
2023-02-03-19-04-36 val-acc:0.8233 
2023-02-03-19-04-43 train-acc:0.9431 
2023-02-03-19-04-45 val-acc:0.9380 
2023-02-03-19-04-52 train-acc:0.9471 
2023-02-03-19-04-54 val-acc:0.9340 
2023-02-03-19-05-01 train-acc:0.9525 
2023-02-03-19-05-02 val-acc:0.9517 
2023-02-03-19-05-09 train-acc:0.9554 
2023-02-03-19-05-11 val-acc:0.8872 
2023-02-03-19-05-18 train-acc:0.9575 
2023-02-03-19-05-20 val-acc:0.9595 
2023-02-03-19-05-27 train-acc:0.9585 
2023-02-03-19-05-28 val-acc:0.9313 
2023-02-03-19-05-35 train-acc:0.9611 
2023-02-03-19-05-37 val-acc:0.9665 
2023-02-03-19-05-44 train-acc:0.9633 
2023-02-03-19-05-46 val-acc:0.9390 
2023-02-03-19-05-53 train-acc:0.9675 
2023-02-03-19-05-54 val-acc:0.9635 
2023-02-03-19-06-02 train-acc:0.9668 
2023-02-03-19-06-03 val-acc:0.9625 
2023-02-03-19-06-10 train-acc:0.9718 
2023-02-03-19-06-12 val-acc:0.9730 
2023-02-03-19-06-19 train-acc:0.9705 
2023-02-03-19-06-20 val-acc:0.9755 
2023-02-03-19-06-28 train-acc:0.9727 
2023-02-03-19-06-29 val-acc:0.9615 
2023-02-03-19-06-37 train-acc:0.9719 
2023-02-03-19-06-38 val-acc:0.9812 
2023-02-03-19-06-46 train-acc:0.9755 
2023-02-03-19-06-48 val-acc:0.9822 
2023-02-03-19-06-56 train-acc:0.9788 
2023-02-03-19-06-58 val-acc:0.9828 
2023-02-03-19-07-05 train-acc:0.9737 
2023-02-03-19-07-07 val-acc:0.9645 
2023-02-03-19-07-14 train-acc:0.9781 
2023-02-03-19-07-15 val-acc:0.9785 
2023-02-03-19-07-23 train-acc:0.9804 
2023-02-03-19-07-25 val-acc:0.9790 
2023-02-03-19-07-32 train-acc:0.9791 
2023-02-03-19-07-34 val-acc:0.9670 
2023-02-03-19-07-41 train-acc:0.9815 
2023-02-03-19-07-43 val-acc:0.9722 
2023-02-03-19-07-50 train-acc:0.9815 
2023-02-03-19-07-52 val-acc:0.9862 
2023-02-03-19-07-59 train-acc:0.9805 
2023-02-03-19-08-01 val-acc:0.9683 
2023-02-03-19-08-08 train-acc:0.9822 
2023-02-03-19-08-10 val-acc:0.9878 
2023-02-03-19-08-17 train-acc:0.9809 
2023-02-03-19-08-19 val-acc:0.9742 
2023-02-03-19-08-26 train-acc:0.9816 
2023-02-03-19-08-28 val-acc:0.9855 
2023-02-03-19-08-35 train-acc:0.9829 
2023-02-03-19-08-37 val-acc:0.9822 
2023-02-03-19-08-44 train-acc:0.9809 
2023-02-03-19-08-45 val-acc:0.9792 
2023-02-03-19-08-52 train-acc:0.9845 
2023-02-03-19-08-54 val-acc:0.9808 
2023-02-03-19-09-02 train-acc:0.9847 
2023-02-03-19-09-04 val-acc:0.9822 
2023-02-03-19-09-11 train-acc:0.9828 
2023-02-03-19-09-13 val-acc:0.9800 
2023-02-03-19-09-20 train-acc:0.9840 
2023-02-03-19-09-22 val-acc:0.9822 
2023-02-03-19-09-30 train-acc:0.9826 
2023-02-03-19-09-32 val-acc:0.9830 
2023-02-03-19-09-39 train-acc:0.9830 
2023-02-03-19-09-41 val-acc:0.9902 
